"3,3dimethyl2butanone"
"838.1","13"
"834.3","20"
"830.5","40.3"
"826.7","50.5"
"822.9","46"
"819","25.4"
"815.2","14.9"
"811.4","11.1"
"807.6","9.2"
"803.8","7.9"
"800","7"
"796.2","6.3"
"792.4","6"
"788.6","5.7"
"784.8","5.7"
"781","5.4"
"777.1","5.4"
"773.3","5.7"
"769.5","5.7"
"765.7","5.7"
"761.9","5.7"
"758.1","5.7"
"754.3","6"
"750.5","6"
"746.7","6.3"
"742.9","6.3"
"739","6.7"
"735.2","6.7"
"731.4","7"
"727.6","7"
"723.8","7"
"720","7"
"716.2","7"
"712.4","6.7"
"708.6","6.7"
"704.8","7"
"701","7.3"
"697.1","7.6"
"693.3","8.3"
"689.5","8.9"
"685.7","10.5"
"681.9","13.3"
"678.1","20.3"
"674.3","27"
"670.5","40"
"666.7","54.6"
"662.9","54.9"
"659","37.8"
"655.2","21"
"651.4","14.3"
"647.6","12.1"
"643.8","10.5"
"640","9.2"
"636.2","8.3"
"632.4","7.6"
"628.6","7.6"
"624.8","7.3"
"621","7.6"
"617.1","7.9"
"613.3","8.6"
"609.5","9.5"
"605.7","10.2"
"601.9","10.8"
"598.1","11.1"
"594.3","10.8"
"590.5","10.8"
"586.7","10.8"
"582.9","10.8"
"579","11.1"
"575.2","11.7"
"571.4","12.7"
"567.6","14.6"
"563.8","17.8"
"560","22.2"
"556.2","31.7"
"552.4","49.8"
"548.6","69.5"
"544.8","69.8"
"541","59"
"537.1","37.5"
"533.3","25.4"
"529.5","19"
"525.7","16.2"
"521.9","14.3"
"518.1","13"
"514.3","12.1"
"510.5","11.7"
"506.7","11.4"
"502.9","11.1"
"499","11.1"
"495.2","11.1"
"491.4","11.1"
"487.6","11.4"
"483.8","11.7"
"480","12.7"
"476.2","15.2"
"472.4","19.4"
"468.6","22.2"
"464.8","24.4"
"461","25.4"
"457.1","25.4"
"453.3","25.4"
"449.5","24.4"
"445.7","22.5"
"441.9","20.6"
"438.1","19"
"434.3","17.5"
"430.5","16.2"
"426.7","15.2"
"422.9","14.9"
"419","15.2"
"415.2","15.6"
"411.4","15.9"
"407.6","16.5"
"403.8","17.1"
"400","17.5"
